seq,t_wall_s,t_teensy_ms,pitch_deg,pitch_rate_dps,wheel_speed_dps,v_mps,u0_Nm,solve_total_ms,solve_qp_ms,dropped,rebuilt
1,5.1331,108172,-0.5215,-0.4272,0.0000,0.00000,0.16781,70.830,69.997,0,0
2,5.2134,108262,-0.5899,-0.4272,-0.0250,-0.00005,0.21910,58.536,56.777,8,0
3,5.3313,108332,-0.7096,0.1221,0.2687,0.00051,0.22715,102.805,102.039,6,0
4,5.4415,108462,-0.7506,7.2632,6.5250,0.01230,-0.20545,83.883,82.287,12,0
5,5.5044,108562,0.5428,2.6245,12.1188,0.02284,-0.25259,50.661,50.181,9,0
6,5.5507,108622,0.1976,-1.3428,11.4938,0.02167,-0.01107,38.006,37.296,5,0
7,5.6163,108672,-0.2071,-4.0894,3.8437,0.00725,0.23046,51.540,51.023,4,0
8,5.6986,108742,-0.4952,5.5542,-1.4250,-0.00269,-0.21212,62.049,60.784,6,0
9,5.7732,108822,0.0070,2.3804,4.5875,0.00865,-0.16768,53.246,52.024,7,0
10,5.8937,108892,0.5608,-1.0986,1.5500,0.00292,-0.11205,105.132,103.925,6,0
11,6.0149,109042,0.0387,0.9155,-0.0750,-0.00014,-0.10336,75.869,74.264,14,0
12,6.0527,109132,0.2330,0.0000,0.0250,0.00005,-0.07303,27.463,27.041,8,0
13,6.0878,109162,0.1723,0.0610,0.0250,0.00005,-0.06616,31.048,30.625,2,0
14,6.1219,109202,0.0742,0.4883,0.0500,0.00009,-0.07605,30.336,29.880,3,0
15,6.1583,109232,0.0645,0.3052,0.0750,0.00014,-0.06460,32.486,32.068,2,0
16,6.1887,109272,0.1351,0.1221,0.0750,0.00014,-0.05733,26.856,26.213,3,0
17,6.2348,109302,0.1725,0.0610,0.0750,0.00014,-0.05635,40.786,40.304,2,0
18,6.2695,109342,0.1676,0.2441,0.0250,0.00005,-0.06689,30.985,29.906,3,0
19,6.3016,109382,0.1315,0.2441,0.0250,0.00005,-0.06663,28.504,28.104,3,0
20,6.3465,109412,0.1311,0.1831,0.0000,0.00000,-0.06286,36.365,35.523,2,0
21,6.4029,109462,0.1265,0.2441,0.0000,0.00000,-0.06485,49.492,48.558,4,0
22,6.4646,109522,0.1270,0.1831,0.0000,0.00000,-0.06172,45.861,44.347,5,0
23,6.5212,109582,0.1398,0.1831,0.0000,0.00000,-0.06200,49.660,49.231,5,0
